Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,422.8500,69.1362,1701.5500,178.1609,8000.0000,0.0000,0.7406,0.0654,0.0000,0.0000,0.1961,0.0106,0.2930,0.0515,0.2930,0.0515,34.9539,5.9583,0.0313,0.0067
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,0.0000,0.0000,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,37.9391,6.7495,0.0309,0.0067
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,0.0000,0.0000,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,7.1558,1.7061,0.0309,0.0067
ZRP,322.7500,71.5217,1716.3500,161.8086,8000.0000,0.0000,0.9511,0.0240,0.0000,0.0000,0.1944,0.0095,5.8978,0.3827,5.8978,0.3827,43.6023,7.4482,0.0309,0.0067
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,0.0000,0.0000,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,28.6913,5.3766,0.0309,0.0066
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,0.0000,0.0000,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,35.7492,7.6788,0.0311,0.0067
RLCR,281.6500,160.6127,1291.9000,106.7047,8000.0000,0.0000,0.9405,0.0135,0.0000,0.0000,0.2009,0.0110,0.0361,0.0001,0.1776,0.0013,29.5893,5.2436,0.0311,0.0067
FQ_UCR,125.2500,49.0444,1129.4500,129.4317,8000.0000,0.0000,0.9142,0.0142,0.0000,0.0000,0.1975,0.0104,0.0377,0.0001,0.0967,0.0029,24.8220,4.6945,0.0316,0.0068
RPL,273.1000,89.5632,1780.2500,163.4567,8000.0000,0.0000,0.9544,0.0200,0.0000,0.0000,0.1967,0.0104,0.0086,0.0018,0.0086,0.0018,42.9916,7.9456,0.0307,0.0066
