Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,380.5500,73.3208,2117.0000,204.6303,8000.0000,0.0000,0.9512,0.0175,24.1593,1.2137,0.2007,0.0102,1.0000,0.0000,1.0000,0.0000,37.8086,4.7281,0.0237,0.0024
AODV,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,32.4710,1.4671,0.1956,0.0099,14.8180,0.4812,14.8180,0.4812,36.7192,4.7708,0.0237,0.0025
DSDV,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,24.4121,1.1843,0.1956,0.0099,2.3068,0.0615,2.3068,0.0615,36.7192,4.7708,0.0237,0.0025
ZRP,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,28.1738,1.4910,0.1956,0.0099,5.9138,0.3900,5.9138,0.3900,36.7192,4.7708,0.0237,0.0025
EH_Routing,379.9000,73.2702,2126.0000,225.4198,8000.0000,0.0000,0.9600,0.0119,24.3831,1.4293,0.2030,0.0111,1.0000,0.0000,1.0000,0.0000,38.2160,4.9088,0.0237,0.0024
MSLBA,362.1500,73.1021,2339.9500,271.5004,8000.0000,0.0000,0.9686,0.0147,21.1038,0.9222,0.1928,0.0091,1.0000,0.0000,1.0000,0.0000,48.5448,4.5341,0.0237,0.0024
RLCR,280.3500,157.1651,1304.2500,110.7866,8000.0000,0.0000,0.9407,0.0133,33.9913,0.7224,0.2014,0.0096,0.0361,0.0001,0.1778,0.0016,23.0730,2.5807,0.0239,0.0024
FQ_UCR,125.3000,49.0650,1153.6000,132.1679,8000.0000,0.0000,0.9140,0.0161,35.2111,0.6994,0.1975,0.0105,0.0377,0.0001,0.0969,0.0032,19.3846,2.3032,0.0243,0.0025
