Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,418.1000,82.2544,2197.5500,225.8210,8000.0000,0.0000,0.9017,0.0139,24.1802,1.2262,0.2000,0.0103,0.5255,0.0602,0.5255,0.0602,37.7954,4.8151,0.0238,0.0024
AODV,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,32.4992,1.5181,0.1956,0.0099,14.8180,0.4812,14.8180,0.4812,36.7192,4.7708,0.0237,0.0025
DSDV,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,24.4103,1.2079,0.1956,0.0099,2.3068,0.0615,2.3068,0.0615,36.7192,4.7708,0.0237,0.0025
ZRP,327.2000,74.0495,1876.8500,193.6704,8000.0000,0.0000,0.9487,0.0275,28.2013,1.5279,0.1956,0.0099,5.9138,0.3900,5.9138,0.3900,36.7192,4.7708,0.0237,0.0025
EH_Routing,379.9000,73.2702,2126.0000,225.4198,8000.0000,0.0000,0.9600,0.0119,24.3832,1.4119,0.2030,0.0111,1.0000,0.0000,1.0000,0.0000,38.2160,4.9088,0.0237,0.0024
MSLBA,362.1500,73.1021,2339.9500,271.5004,8000.0000,0.0000,0.9686,0.0147,21.1117,0.9190,0.1928,0.0091,1.0000,0.0000,1.0000,0.0000,48.5448,4.5341,0.0237,0.0024
RLCR,389.7000,161.4106,1305.4500,86.3344,8000.0000,0.0000,0.9406,0.0122,33.9493,0.7119,0.2002,0.0108,0.0362,0.0001,0.1783,0.0010,23.2109,2.5172,0.0239,0.0024
FQ_UCR,122.8000,48.5989,1171.8500,118.1601,8000.0000,0.0000,0.9150,0.0159,35.2340,0.7464,0.1977,0.0107,0.0377,0.0001,0.0964,0.0022,19.4566,2.1384,0.0243,0.0025
