Protocol,FND_mean,FND_std,HND_mean,HND_std,PDR_mean,PDR_std,LatA_ms_mean,LatA_ms_std,AvgEnergy_J_mean,AvgEnergy_J_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Throughput_mean,Throughput_std
CARHy_RL,34.0000,12.8452,801.4000,60.5706,1.0000,0.0000,17.5057,0.0075,0.0959,0.0099,0.1861,0.0111,1.8479,0.0762,39.9219,2.9988
AODV,33.6000,12.7201,704.8000,47.2832,1.0000,0.0000,100.0121,0.0573,0.1092,0.0072,0.1860,0.0114,3.1643,0.1413,35.1189,1.9698
DSDV,34.0000,12.8452,849.4000,72.6140,1.0000,0.0000,17.4994,0.0088,0.0925,0.0085,0.1861,0.0110,6.2663,0.2364,41.7210,3.1472
ZRP,34.0000,12.8452,847.4000,72.0888,1.0000,0.0000,22.7683,0.3928,0.0923,0.0085,0.1861,0.0110,4.6984,0.1776,41.7498,3.1535
EH_Routing,787.4000,247.0006,1432.0000,57.5804,1.0000,0.0000,47.5258,0.0514,0.0836,0.0024,0.1946,0.0112,4.5021,0.2436,70.3409,3.2700
MSLBA,44.2000,17.2829,1026.2000,113.6781,1.0000,0.0000,45.0209,0.0364,0.0705,0.0075,0.1932,0.0124,3.0363,0.1211,51.1340,4.7938
RLCR,782.8000,288.3300,1558.6000,72.3865,1.0000,0.0000,17.5038,0.0104,0.0666,0.0030,0.1941,0.0119,5.1073,0.2772,77.0364,3.1737
FQ_UCR,349.4000,108.0454,1432.0000,89.3029,1.0000,0.0000,14.5071,0.0071,0.0696,0.0027,0.1916,0.0117,5.5319,0.3079,67.6019,3.0233
