    CARHy_RL   vs DSDV        diff=+322  p=0.0388
    CARHy_RL   vs ZRP         diff=+322  p=0.0388
    CARHy_RL   vs MSLBA       diff=+322  p=0.0388
    CARHy_RL   vs RLCR        diff=+522  p=0.00207
    CARHy_RL   vs FQ_UCR      diff=+529  p=0.0019
[ClassB | HND] ANOVA p = 1.54e-05
    CARHy_RL   vs AODV        diff=+658  p=0.0034
    CARHy_RL   vs DSDV        diff=+658  p=0.0034
    CARHy_RL   vs ZRP         diff=+658  p=0.0034
    CARHy_RL   vs RLCR        diff=+1.19e+03  p=5e-05
    CARHy_RL   vs FQ_UCR      diff=+1.34e+03  p=2.11e-05
    AODV       vs MSLBA       diff=-488  p=0.0212
    AODV       vs RLCR        diff=+534  p=0.0125
    AODV       vs FQ_UCR      diff=+678  p=0.00277
    DSDV       vs MSLBA       diff=-488  p=0.0212
    DSDV       vs RLCR        diff=+534  p=0.0125
    DSDV       vs FQ_UCR      diff=+678  p=0.00277
    ZRP        vs MSLBA       diff=-488  p=0.0212
    ZRP        vs RLCR        diff=+534  p=0.0125
    ZRP        vs FQ_UCR      diff=+678  p=0.00277
    EH_Routing vs RLCR        diff=+794  p=0.000956
    EH_Routing vs FQ_UCR      diff=+938  p=0.000292
    MSLBA      vs RLCR        diff=+1.02e+03  p=0.000157
    MSLBA      vs FQ_UCR      diff=+1.17e+03  p=5.88e-05
[ClassB | PDR] ANOVA p = 8.21e-07
    CARHy_RL   vs AODV        diff=-0.214  p=2.12e-06
    CARHy_RL   vs DSDV        diff=-0.214  p=2.12e-06
    CARHy_RL   vs ZRP         diff=-0.214  p=2.12e-06
    CARHy_RL   vs EH_Routing  diff=-0.248  p=6.62e-07
    CARHy_RL   vs MSLBA       diff=-0.242  p=8.08e-07
    CARHy_RL   vs RLCR        diff=-0.218  p=1.84e-06
    CARHy_RL   vs FQ_UCR      diff=-0.184  p=6.78e-06
    EH_Routing vs FQ_UCR      diff=+0.0635  p=0.0127
    MSLBA      vs FQ_UCR      diff=+0.0574  p=0.0226
[ClassB | Gini] ANOVA p = 0.00127
    CARHy_RL   vs EH_Routing  diff=-0.0108  p=0.0135
    AODV       vs EH_Routing  diff=-0.0128  p=0.0049
    DSDV       vs EH_Routing  diff=-0.0128  p=0.0049
    ZRP        vs EH_Routing  diff=-0.0128  p=0.0049
    EH_Routing vs MSLBA       diff=+0.018  p=0.000483
    EH_Routing vs RLCR        diff=+0.00902  p=0.0375
    EH_Routing vs FQ_UCR      diff=+0.0133  p=0.00372
    MSLBA      vs RLCR        diff=-0.00895  p=0.039
[ClassB | Overhead] ANOVA p = 1.46e-13
    CARHy_RL   vs AODV        diff=-14.4  p=0
    CARHy_RL   vs DSDV        diff=-1.99  p=1.64e-06
    CARHy_RL   vs ZRP         diff=-5.84  p=3.22e-12
    CARHy_RL   vs EH_Routing  diff=-0.718  p=0.00298
    CARHy_RL   vs MSLBA       diff=-0.718  p=0.00298
    AODV       vs DSDV        diff=+12.4  p=0
    AODV       vs ZRP         diff=+8.54  p=3.73e-18
    AODV       vs EH_Routing  diff=+13.7  p=0
    AODV       vs MSLBA       diff=+13.7  p=0
    AODV       vs RLCR        diff=+14.6  p=0
    AODV       vs FQ_UCR      diff=+14.6  p=0
    DSDV       vs ZRP         diff=-3.85  p=3.86e-09
    DSDV       vs EH_Routing  diff=+1.27  p=5.15e-05
    DSDV       vs MSLBA       diff=+1.27  p=5.15e-05
    DSDV       vs RLCR        diff=+2.23  p=6.46e-07
    DSDV       vs FQ_UCR      diff=+2.23  p=6.5e-07
    ZRP        vs EH_Routing  diff=+5.12  p=5.29e-11
    ZRP        vs MSLBA       diff=+5.12  p=5.29e-11
    ZRP        vs RLCR        diff=+6.09  p=1.15e-12
    ZRP        vs FQ_UCR      diff=+6.09  p=1.15e-12
    EH_Routing vs RLCR        diff=+0.964  p=0.00039
    EH_Routing vs FQ_UCR      diff=+0.962  p=0.000394
