Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,312.0000,53.8575,1258.7500,75.4153,8000.0000,0.0000,0.9346,0.0182,25.2690,1.2012,0.1984,0.0108,1.0000,0.0000,1.0000,0.0000,37.8901,3.3223,0.0402,0.0038
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,32.3279,1.4132,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,49.6279,4.6533,0.0402,0.0038
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,26.8892,0.8517,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,9.2894,1.1496,0.0401,0.0039
ZRP,265.6500,53.1881,1261.6000,77.7177,8000.0000,0.0000,0.9376,0.0317,29.1561,1.2332,0.1920,0.0102,6.5449,0.3513,6.5449,0.3513,41.5097,3.8662,0.0402,0.0039
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,26.0670,1.5551,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,37.4410,3.1327,0.0401,0.0038
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,22.0055,0.8822,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,46.4588,4.5042,0.0403,0.0038
RLCR,281.6500,160.6127,1291.9000,106.7047,8000.0000,0.0000,0.9405,0.0135,33.9531,0.6466,0.2009,0.0110,0.0361,0.0001,0.1776,0.0013,38.7122,3.7373,0.0404,0.0039
FQ_UCR,125.2500,49.0444,1129.4500,129.4317,8000.0000,0.0000,0.9142,0.0142,35.2415,0.6325,0.1975,0.0104,0.0377,0.0001,0.0967,0.0029,32.4011,3.0309,0.0410,0.0039
