Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,353.9000,63.1038,1587.4500,130.2792,8000.0000,0.0000,0.8836,0.0149,0.0000,0.0000,0.1962,0.0104,0.3261,0.0357,0.3261,0.0357,45.8218,4.2420,0.0404,0.0039
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,0.0000,0.0000,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,49.5694,4.6223,0.0401,0.0039
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,0.0000,0.0000,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,9.2805,1.1609,0.0401,0.0040
ZRP,265.6500,53.1881,1261.6000,77.7177,8000.0000,0.0000,0.9376,0.0317,0.0000,0.0000,0.1920,0.0102,6.5449,0.3513,6.5449,0.3513,41.4646,3.8842,0.0402,0.0039
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,0.0000,0.0000,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,37.3997,3.1437,0.0400,0.0039
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,0.0000,0.0000,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,46.4104,4.5433,0.0403,0.0039
RLCR,281.6500,160.6127,1291.9000,106.7047,8000.0000,0.0000,0.9405,0.0135,0.0000,0.0000,0.2009,0.0110,0.0361,0.0001,0.1776,0.0013,38.6676,3.7259,0.0404,0.0039
FQ_UCR,125.2500,49.0444,1129.4500,129.4317,8000.0000,0.0000,0.9142,0.0142,0.0000,0.0000,0.1975,0.0104,0.0377,0.0001,0.0967,0.0029,32.3652,3.0381,0.0410,0.0040
