Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,420.9000,70.0788,1721.5000,165.9973,8000.0000,0.0000,0.7333,0.0721,0.0000,0.0000,0.1961,0.0106,0.2682,0.0480,0.2682,0.0480,35.5970,7.5497,0.0315,0.0078
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,0.0000,0.0000,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,38.2025,8.5683,0.0311,0.0078
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,0.0000,0.0000,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,7.2009,1.9708,0.0310,0.0078
ZRP,265.6500,53.1881,1261.6000,77.7177,8000.0000,0.0000,0.9376,0.0317,0.0000,0.0000,0.1920,0.0102,6.5449,0.3513,6.5449,0.3513,31.9944,7.4027,0.0311,0.0078
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,0.0000,0.0000,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,28.8595,6.5563,0.0310,0.0077
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,0.0000,0.0000,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,35.9592,9.0096,0.0312,0.0078
RLCR,281.6500,160.6127,1291.9000,106.7047,8000.0000,0.0000,0.9405,0.0135,0.0000,0.0000,0.2009,0.0110,0.0361,0.0001,0.1776,0.0013,29.7795,6.5794,0.0313,0.0077
FQ_UCR,125.2500,49.0444,1129.4500,129.4317,8000.0000,0.0000,0.9142,0.0142,0.0000,0.0000,0.1975,0.0104,0.0377,0.0001,0.0967,0.0029,24.9740,5.7117,0.0318,0.0079
