Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,422.8500,69.1362,1701.5500,178.1609,8000.0000,0.0000,0.7406,0.0654,0.0000,0.0000,0.1961,0.0106,0.2930,0.0515,0.2930,0.0515,35.8497,7.0041,0.0321,0.0074
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,0.0000,0.0000,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,38.9250,7.9524,0.0317,0.0074
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,0.0000,0.0000,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,7.3364,1.8702,0.0317,0.0074
ZRP,265.6500,53.1881,1261.6000,77.7177,8000.0000,0.0000,0.9376,0.0317,0.0000,0.0000,0.1920,0.0102,6.5449,0.3513,6.5449,0.3513,32.6192,6.9699,0.0317,0.0074
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,0.0000,0.0000,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,29.4193,6.1387,0.0316,0.0073
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,0.0000,0.0000,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,36.6567,8.5397,0.0318,0.0074
RLCR,281.6500,160.6127,1291.9000,106.7047,8000.0000,0.0000,0.9405,0.0135,0.0000,0.0000,0.2009,0.0110,0.0361,0.0001,0.1776,0.0013,30.3434,6.0920,0.0319,0.0074
FQ_UCR,125.2500,49.0444,1129.4500,129.4317,8000.0000,0.0000,0.9142,0.0142,0.0000,0.0000,0.1975,0.0104,0.0377,0.0001,0.0967,0.0029,25.4490,5.3197,0.0324,0.0076
